scenario,ED,CONTAG,SHDI,ΔED,ΔCONTAG,ΔSHDI,Impervious_km2,ΔImpervious_km2,Pareto,d_star
EPS,301981.7074329806,34.24481466970943,0.3886639029548218,-30510.866300761874,0.182706339960788,-0.03904241767450184,4.3092,-0.9981,True,1.0
CPS,367010.6690739421,31.591189417178377,0.45107473250620744,34518.09534019965,-2.470918912570262,0.02336841187688382,1.827,-3.4802999999999997,False,0.9268208216864401
NDS,382235.0417699796,31.31973814952825,0.4552886781893871,49742.468036237115,-2.742370180220391,0.027582357560063497,5.3595,0.052200000000000024,False,1.0
